Name,Sr_No,Nationality,PD,Gender,Competition,Result,TimePoint_Label,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Neutral,Sighted_Blind,Group,Athlete_Code,PD_Code,SB_Code,Result_Code
Lorena da Silva Leite (1),751,BRA,High,Female,Olympic,Loss,Pre,0.0001639033154,0.04163832690000001,0.003556594094,0.005493239,0.007294495179999999,0.0005050824190000001,-0.0416088134,0.397809669,0.6145814079999999,Sighted,High PD – Sighted,338,1,0,0
Thais Christina da Silva Ferreira (15),752,BRA,High,Female,Olympic,Loss,Pre,0.001357621097572727,0.003746242690909091,0.0437900007,0.0003871442461545454,0.002317018910090909,0.001876391964536364,-0.04243238017272728,0.31458273,0.9195290681818183,Sighted,High PD – Sighted,555,1,0,0
Lauren Eduarda Leal Costa (21),753,BRA,High,Female,Olympic,Loss,Pre,3.191168800000001e-05,0.016749427,0.03804287893636363,0.0004056353524545455,0.001149018633636364,1.265620473636363e-05,-0.03840096354545455,0.2715169209090909,0.8923144827272729,Sighted,High PD – Sighted,316,1,0,0
Tarciane Karen dos Santos de Lima(3),754,BRA,High,Female,Olympic,Loss,Pre,0.001808163711333333,0.243300632,0.12430890078,0.001195191858,0.001603838337333333,0.001970300148,-0.2438518446666667,0.3628903,0.5667634446666666,Sighted,High PD – Sighted,549,1,0,0
Adriana Leal da Silva (9),755,BRA,High,Female,Olympic,Loss,Pre,0.001143738251428572,0.02737429925,0.005071707093571428,0.002803403068571428,0.005405691087692857,0.004959033926071428,-0.02771845642857143,0.3442152585714285,0.8788006364285715,Sighted,High PD – Sighted,7,1,0,0
Vitoria Ferreira Silva (8),756,BRA,High,Female,Olympic,Loss,Pre,0.069263788375,0.07186440189375001,0.055335229625,0.004469579824375,0.005303448813125,0.01915906883125,-0.02405501571249999,0.354188333125,0.549649195625,Sighted,High PD – Sighted,579,1,0,0
Maria Eduarda Ferreira Sampaio (5),757,BRA,High,Female,Olympic,Loss,Pre,0.2287237156379166,0.01569605752083333,0.024387284185,0.04876533654583334,0.029976349076375,0.06951625751483333,0.1481843555416667,0.4726845770833334,0.4648788279166667,Sighted,High PD – Sighted,361,1,0,0
Yasmim Assis Ribeiro (13),758,BRA,High,Female,Olympic,Loss,Pre,0.004286006017777779,3.606412615555556e-05,0.003531639172222223,0.0001351602126666667,0.001266520603888889,4.153801727777778e-07,0.0007543668886111114,0.3605709833333333,0.7574077694444443,Sighted,High PD – Sighted,590,1,0,0
Gabrielle Jordao Portilho (18),759,BRA,High,Female,Olympic,Loss,Pre,0.006645624629999999,0.1043844717,0.00676358841,0.001040568918,0.0150446849,0.00263604388,-0.0977388468,0.188752999,0.477120331,Sighted,High PD – Sighted,192,1,0,0
Jheniffer da Silva Cordinali Gouveia (11),760,BRA,High,Female,Olympic,Loss,Pre,5.2853275e-08,0.4295775733333334,0.0901407045,3.779587536666667e-06,0.005799661466666666,0.0001506355140833333,-0.4295775216666668,0.4492348608333334,0.3087326583333334,Sighted,High PD – Sighted,268,1,0,0
